"""","電話加入総数","一般加入　 電話","一般加入電話_うち住宅用","ビル電話","ISDN","公衆電話総数","街頭公衆電話_アナログ公衆","街頭公衆電話_ﾃﾞｼﾞﾀﾙ公衆","街頭公衆電話_ICｶｰﾄﾞ公衆"
" 美 浜 町","1533.0","1533.0","1329.0","0.0","72.0","12.0","11.0","1.0","0.0"
" 日 高 町","1198.0","1198.0","983.0","0.0","89.0","8.0","8.0","0.0","0.0"
" 由 良 町","1314.0","1314.0","1043.0","0.0","143.0","12.0","10.0","2.0","0.0"
" 印 南 町","1743.0","1743.0","1372.0","0.0","235.0","13.0","12.0","1.0","0.0"
" みなべ町","2615.0","2615.0","2009.0","0.0","327.0","20.0","16.0","4.0","0.0"
" 日高川町","2512.0","2512.0","1940.0","0.0","307.0","24.0","23.0","1.0","0.0"
"","","","","","","","","",""
" 白 浜 町","5902.0","5902.0","4282.0","0.0","538.0","58.0","42.0","16.0","0.0"
" 上富田町","2592.0","2592.0","2076.0","0.0","200.0","18.0","14.0","4.0","0.0"
" すさみ町","1455.0","1455.0","1174.0","0.0","79.0","16.0","9.0","7.0","0.0"
"","","","","","","","","",""
"   那智勝浦町","4464.0","4464.0","3567.0","0.0","386.0","44.0","31.0","13.0","0.0"
" 太 地 町","767.0","767.0","635.0","0.0","54.0","6.0","4.0","2.0","0.0"
" 古座川町","1045.0","1045.0","888.0","0.0","62.0","16.0","14.0","2.0","0.0"
" 北 山 村","192.0","192.0","151.0","0.0","29.0","1.0","1.0","0.0","0.0"
" 串 本 町","5031.0","5031.0","4119.0","0.0","369.0","48.0","36.0","12.0","0.0"
